Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.1650,0.5983,-0.1405,2.0825,1.8950,1.7738,-0.0160,1.1204,1.2216,-0.0160,1.0448

2.1000,-0.4305,-0.0788,2.0825,1.8950,1.8355,-0.0778,0.8631,1.0278,-0.0778,0.8699

3.0990,-0.6877,0.0447,1.8355,1.8950,1.8973,0.0457,-0.1659,0.8031,0.0457,0.6949

4.0990,-1.2021,0.0447,2.0208,1.8950,1.4651,-0.1395,0.6059,0.8049,-0.1395,0.6700

5.0990,-0.6877,0.0447,1.8973,2.4094,1.7738,-0.0160,0.3486,0.9644,-0.0160,0.8243

6.1000,4.4562,0.4151,1.8973,2.1522,1.7121,-0.2630,-0.1659,1.7445,-0.2630,1.4577

7.1000,-0.1733,-0.0170,2.0208,2.1522,1.8973,-0.0778,0.3486,1.0381,-0.0778,0.8787

8.0990,-0.4305,-0.0170,1.9590,1.3805,1.7121,-0.0160,0.6059,0.8683,-0.0160,0.7420

9.0990,-1.2021,-0.0170,2.0208,1.8950,1.5886,-0.0778,0.0913,0.7294,-0.0778,0.6141

10.1000,-0.6877,0.1065,1.9590,1.8950,1.8973,0.0457,0.6059,0.9626,0.0457,0.8317

11.1000,-1.9737,-0.0788,1.9590,2.1522,1.8973,0.0457,0.3486,0.7174,0.0457,0.6215

12.1000,-0.9449,-0.0170,1.8973,2.6666,1.7738,0.0457,0.3486,0.9541,0.0457,0.8243

13.1010,-0.9449,0.1065,2.0208,1.6377,1.8355,0.1074,0.8631,0.9198,0.1074,0.8037

14.0990,-1.4593,0.0447,1.8973,2.1522,1.5886,0.0457,0.3486,0.7620,0.0457,0.6597

15.0990,-0.9449,-0.0170,2.0208,2.4094,1.9590,0.0457,0.6059,1.0055,0.0457,0.8684

16.0990,-0.4305,0.1682,2.0208,2.1522,1.8355,0.2309,0.8631,1.1015,0.2309,0.9772

17.1000,-0.9449,-0.0788,2.2060,2.1522,1.8973,0.0457,0.8631,1.0158,0.0457,0.8772

18.0990,-0.6877,0.0447,1.8355,2.1522,1.8973,0.0457,0.3486,0.9318,0.0457,0.8052

19.0990,-1.2021,-0.0170,2.0208,2.1522,1.8973,-0.0160,0.3486,0.8666,-0.0160,0.7405

20.0990,-0.4305,0.1682,2.0208,2.4094,1.7738,0.1692,0.6059,1.0913,0.1692,0.9595

21.1000,-0.4305,0.0447,2.0208,2.1522,1.8973,-0.1395,0.3486,1.0055,-0.1395,0.8419

22.0990,-0.1733,-0.0788,1.9590,2.1522,1.8973,-0.3247,0.0913,0.9746,-0.3247,0.7890

23.0990,-0.6877,-0.0170,2.0208,1.3805,1.7738,-0.0160,0.6059,0.8460,-0.0160,0.7229

24.0990,-1.4593,-0.0170,2.0825,2.6666,1.7121,-0.0778,0.6059,0.9318,-0.0778,0.7876

25.1000,-0.6877,0.1682,1.9590,2.4094,1.7121,-0.1395,0.6059,1.0278,-0.1395,0.8610

26.1000,-0.1733,-0.0788,1.4651,2.1522,1.8355,-0.2630,0.3486,0.9249,-0.2630,0.7552

27.0990,-0.4305,-0.2022,1.8973,1.8950,1.8973,-0.2013,0.6059,0.9438,-0.2013,0.7802

28.1000,-0.6877,0.1065,2.0208,1.1233,1.7738,-0.2013,0.8631,0.8666,-0.2013,0.7141

29.0990,-0.1733,0.0447,2.2060,2.4094,1.8973,-0.2013,0.8631,1.2079,-0.2013,1.0066

30.0990,-0.1733,-0.0170,1.9590,1.3805,1.7738,-0.0778,0.6059,0.9215,-0.0778,0.7787

31.0990,-0.1733,-0.1405,1.8973,2.6666,1.8355,-0.3865,0.0913,1.0295,-0.3865,0.8272

32.1000,-0.6877,-0.0170,2.0208,1.8950,1.7738,-0.1395,1.3776,1.0604,-0.1395,0.8890

33.0990,-0.9449,0.0447,1.9590,1.6377,1.7738,-0.1395,0.8631,0.8889,-0.1395,0.7420

34.0990,-0.4305,0.0447,1.8973,2.6666,1.7738,-0.0160,0.6059,1.0930,-0.0160,0.9345

35.0990,-0.6877,0.0447,1.8973,2.4094,1.5886,-0.1395,0.8631,1.0192,-0.1395,0.8537

36.0990,-0.4305,0.6621,1.8973,2.6666,1.7738,-0.1395,0.6059,1.1959,-0.1395,1.0051

37.0990,-0.1733,-0.0170,2.1442,2.1522,1.8973,-0.1395,0.8631,1.1444,-0.1395,0.9610

38.1000,-0.6877,0.0447,2.2060,1.8950,1.9590,0.0457,0.6059,1.0038,0.0457,0.8669

39.1000,-0.9449,-0.0788,2.0825,2.4094,1.8973,-0.0778,0.6059,0.9952,-0.0778,0.8419

40.0990,0.0839,0.0447,2.0825,0.8661,1.9590,-0.1395,1.1204,1.0261,-0.1395,0.8596

41.0990,-0.1733,-0.0788,2.0825,2.1522,1.8973,-0.2013,0.3486,1.0381,-0.2013,0.8610

42.0990,-0.4305,-0.1405,1.8973,2.1522,1.7121,-0.1395,0.8631,1.0089,-0.1395,0.8449

43.0990,-0.4305,0.0447,1.8355,2.1522,1.8973,-0.0160,0.0913,0.9318,-0.0160,0.7964

44.1000,-0.6877,0.0447,2.2677,2.1522,1.9590,-0.0160,1.3776,1.1856,-0.0160,1.0139

45.1000,-0.6877,0.1065,2.0825,2.4094,1.4651,0.2926,0.0913,0.9112,0.2926,0.8228

46.1000,-0.6877,0.1065,2.0208,2.1522,1.8355,-0.0778,-0.1659,0.8769,-0.0778,0.7405

47.0990,-0.6877,0.0447,2.0825,1.3805,1.8355,-0.2630,-1.4522,0.5339,-0.2630,0.4201

48.0990,-0.1733,0.1682,1.9590,2.1522,1.8355,0.0457,0.8631,1.1341,0.0457,0.9786

49.0990,-0.1733,0.0447,2.1442,2.4094,1.9590,-0.0778,0.8631,1.2079,-0.0778,1.0242

50.0990,-0.9449,0.1065,2.0825,1.6377,1.8973,-0.0778,0.3486,0.8546,-0.0778,0.7214

51.0990,-0.1733,-0.2022,2.0825,2.4094,1.8973,-0.0778,0.6059,1.1033,-0.0778,0.9345

52.0990,-0.6877,0.1065,1.8973,1.8950,1.8973,-0.0160,0.0913,0.8666,-0.0160,0.7405

53.0990,-0.6877,0.0447,1.8973,2.1522,1.8973,-0.1395,-0.6804,0.7706,-0.1395,0.6405

54.1000,0.3411,0.1065,2.1442,2.4094,1.9590,0.0457,0.3486,1.2181,0.0457,1.0506

55.0990,-0.6877,0.0447,1.9590,2.6666,1.9590,0.0457,-0.1659,0.9626,0.0457,0.8316

56.0990,-0.6877,-0.0170,2.0208,2.1522,1.8973,-0.0778,-0.1659,0.8666,-0.0778,0.7317

57.0990,-0.1733,0.1065,2.0208,-1.7062,2.4530,-0.2013,0.3486,0.5082,-0.2013,0.4069

58.0990,-0.6877,-0.0788,2.1442,2.4094,2.0208,-0.1395,1.3776,1.1976,-0.1395,1.0066

59.0990,-0.4305,-0.2022,1.9590,2.1522,1.9590,-0.0778,0.3486,0.9643,-0.0778,0.8155

60.0990,-0.9449,0.0447,2.2677,1.8950,1.9590,-0.0160,0.8631,1.0141,-0.0160,0.8669

61.0990,-0.4305,-0.0170,2.1442,2.9239,1.8973,0.1074,0.6059,1.1873,0.1074,1.0330

62.0990,-0.6877,0.1065,2.1442,4.2100,2.0208,-0.1395,0.8631,1.4428,-0.1395,1.2168

63.0990,-0.1733,-0.0788,2.0208,2.6666,2.1443,-0.0160,0.3486,1.1547,-0.0160,0.9875

64.0990,-0.4305,0.1682,2.2060,0.8661,2.1443,0.1692,0.0913,0.8409,0.1692,0.7449

65.0990,-0.6877,0.1682,2.0825,2.6666,1.8355,0.1692,0.6059,1.1118,0.1692,0.9772

66.1000,-0.9449,0.1682,2.1442,2.4094,1.8355,0.1074,2.6639,1.3794,0.1074,1.1977

67.0990,-0.9449,0.0447,2.2060,1.3805,1.7738,0.1692,0.6059,0.8443,0.1692,0.7479

68.0990,-0.6877,0.0447,1.9590,2.1522,1.9590,0.0457,1.1204,1.0913,0.0457,0.9419

69.0990,-0.1733,-0.0170,2.2677,2.9239,1.5886,0.2926,0.0913,1.1135,0.2926,0.9963

70.0990,-0.4305,0.1065,2.0208,2.4094,1.9590,0.2926,0.6059,1.1118,0.2926,0.9948

71.0990,-0.1733,0.0447,2.3295,2.1522,1.9590,-0.0160,1.1204,1.2387,-0.0160,1.0595

72.0990,-0.9449,0.1065,1.9590,2.1522,1.8973,0.1074,0.8631,1.0055,0.1074,0.8772

73.0990,-0.4305,-0.1405,2.1442,2.1522,2.0208,0.0457,0.6059,1.0587,0.0457,0.9140

74.1000,-0.6877,0.1065,1.8355,2.1522,1.9590,0.1074,0.3486,0.9523,0.1074,0.8316

75.0990,-0.4305,-0.0788,1.9590,2.4094,1.8973,0.0457,0.6059,1.0604,0.0457,0.9154

76.0990,-0.4305,-0.0170,2.0825,2.1522,2.0208,-0.0160,0.6059,1.0690,-0.0160,0.9140

77.0990,-0.1733,0.0447,2.1442,1.8950,2.0208,0.0457,0.8631,1.1324,0.0457,0.9772

78.1000,0.3411,-0.1405,2.0208,2.4094,1.8973,0.2309,0.3486,1.1461,0.2309,1.0154

79.0990,-0.9449,0.0447,2.0208,2.1522,1.7738,-0.2013,-0.6804,0.7277,-0.2013,0.5950

80.0990,-0.4305,-0.1405,2.2060,2.1522,1.7121,-0.0160,0.8631,1.0604,-0.0160,0.9066

81.1000,-0.4305,0.1682,1.8355,2.9239,1.9590,0.2309,0.3486,1.1341,0.2309,1.0051

82.0990,-1.2021,-0.0170,2.0208,2.1522,1.7738,-0.0778,0.6059,0.8889,-0.0778,0.7508

83.1000,0.0839,0.0447,2.1442,2.1522,2.0825,0.1074,1.1204,1.2713,0.1074,1.1050

84.0990,-0.6877,0.1065,2.1442,1.8950,1.9590,0.0457,0.6059,1.0038,0.0457,0.8669

85.0990,0.0839,-0.0170,2.1442,2.6666,2.0208,-0.0160,2.9211,1.6366,-0.0160,1.4005

86.0990,-1.7165,-0.0788,2.1442,2.1522,1.8973,-0.1395,0.6059,0.8341,-0.1395,0.6950

87.0990,-0.4305,0.0447,2.0208,2.4094,1.7738,-0.0778,0.8631,1.1135,-0.0778,0.9434

88.0990,-0.4305,0.0447,1.8355,1.6377,1.8973,-0.0778,0.3486,0.8889,-0.0778,0.7508

89.1000,-0.6877,0.0447,2.0825,2.6666,1.9590,0.0457,0.8631,1.1547,0.0457,0.9963

90.1000,-0.1733,-0.0788,2.2677,2.1522,1.8973,-0.1395,1.1204,1.1976,-0.1395,1.0066

91.0990,-0.6877,0.0447,2.0825,2.4094,1.9590,-0.0778,0.6059,1.0690,-0.0778,0.9051

92.0990,-0.4305,0.1682,1.8973,3.6956,1.8355,0.1074,-0.4232,1.1238,0.1074,0.9786

93.0990,-0.9449,0.0447,2.0825,1.6377,1.8355,-0.0778,0.8631,0.9198,-0.0778,0.7773

94.0990,-0.4305,-0.1405,2.0208,2.4094,1.9590,-0.2013,0.6059,1.0707,-0.2013,0.8890

95.0990,-0.4305,-0.2022,1.9590,1.8950,2.0208,-0.2013,0.6059,0.9746,-0.2013,0.8067

96.0990,-0.6877,0.0447,2.1442,2.9239,1.9590,-0.0160,0.6059,1.1650,-0.0160,0.9963

97.0990,-0.4305,-0.0170,2.2060,2.1522,1.9590,-0.1395,0.6059,1.0793,-0.1395,0.9051

98.1010,-0.4305,0.1065,2.1442,2.4094,1.9590,0.0457,0.3486,1.0895,0.0457,0.9404

99.0990,-0.9449,0.0447,2.2060,3.6956,1.5886,0.1074,0.3486,1.1564,0.1074,1.0066

100.0990,-0.6877,0.1065,2.0825,2.1522,1.8973,0.1692,0.8631,1.0690,0.1692,0.9404

101.0990,-0.9449,-0.0788,2.0825,2.6666,1.6503,-0.2013,0.8631,1.0398,-0.2013,0.8625

102.1000,-0.9449,0.0447,2.0825,1.1233,1.8355,-0.0778,0.6059,0.7912,-0.0778,0.6670

103.1000,-0.6877,0.1682,2.0825,2.4094,1.8973,-0.0160,-1.4522,0.7363,-0.0160,0.6288

104.0990,-0.4305,0.1682,2.0208,2.4094,1.9590,0.1074,0.6059,1.1221,0.1074,0.9772

105.1000,-0.1733,0.0447,2.2060,1.8950,1.8973,-0.0778,0.6059,1.0792,-0.0778,0.9140

106.1000,0.0839,0.0447,2.3295,2.1522,2.0208,-0.2013,0.3486,1.1633,-0.2013,0.9683

107.0990,-0.6877,0.0447,2.0825,2.9239,1.7121,0.0457,0.6059,1.1135,0.0457,0.9610

108.0990,-0.6877,0.1065,2.2060,2.1522,1.9590,0.0457,0.6059,1.0570,0.0457,0.9125

