Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
1.2480,0.2405,0.0450

1.8520,0.2544,0.0604

2.8520,0.2498,0.0553

3.8520,0.2312,0.0347

4.8530,0.2405,0.0450

5.8520,0.2359,0.0399

6.8530,0.2359,0.0399

7.8520,0.2405,0.0450

8.8520,0.2405,0.0450

9.8520,0.2359,0.0399

10.8530,0.2498,0.0553

11.8520,0.2451,0.0501

12.8530,0.2498,0.0553

13.8530,0.2451,0.0501

14.8520,0.2451,0.0501

15.8520,0.2081,0.0090

16.8520,0.2451,0.0501

17.8530,0.2359,0.0399

18.8520,0.2405,0.0450

19.8520,0.2359,0.0399

20.8520,0.2544,0.0604

21.8530,0.2451,0.0501

22.8530,0.2405,0.0450

23.8530,0.2359,0.0399

24.8530,0.2405,0.0450

25.8520,0.2451,0.0501

26.8520,0.2451,0.0501

27.8520,0.2359,0.0399

28.8520,0.2498,0.0553

29.8520,0.2359,0.0399

30.8530,0.2220,0.0244

31.8520,0.2359,0.0399

32.8520,0.2405,0.0450

33.8520,0.2451,0.0501

34.8520,0.2405,0.0450

35.8520,0.2359,0.0399

36.8520,0.2312,0.0347

37.8520,0.2405,0.0450

38.8530,0.2359,0.0399

39.8520,0.2312,0.0347

40.8520,0.2451,0.0501

41.8530,0.2405,0.0450

42.8520,0.2637,0.0707

43.8530,0.2312,0.0347

44.8520,0.2451,0.0501

45.8520,0.2405,0.0450

46.8530,0.2359,0.0399

47.8530,0.2498,0.0553

48.8530,0.2451,0.0501

49.8520,0.2405,0.0450

50.8520,0.2405,0.0450

51.8520,0.2498,0.0553

52.8520,0.2405,0.0450

53.8520,0.2498,0.0553

54.8520,0.2405,0.0450

55.8530,0.2405,0.0450

56.8520,0.2359,0.0399

57.8520,0.2451,0.0501

58.8520,0.2405,0.0450

59.8520,0.2405,0.0450

60.8520,0.2359,0.0399

61.8520,0.2405,0.0450

62.8520,0.2405,0.0450

63.8520,0.2405,0.0450

64.8530,0.2359,0.0399

65.8520,0.2266,0.0296

66.8520,0.2544,0.0604

67.8530,0.2405,0.0450

68.8530,0.2359,0.0399

69.8520,0.2405,0.0450

70.8520,0.2451,0.0501

71.8520,0.2405,0.0450

72.8520,0.2312,0.0347

73.8520,0.2359,0.0399

74.8520,0.2359,0.0399

75.8520,0.2451,0.0501

76.8520,0.2405,0.0450

77.8520,0.2173,0.0193

78.8520,0.2498,0.0553

79.8520,0.2451,0.0501

80.8530,0.2405,0.0450

81.8520,0.2498,0.0553

82.8520,0.2405,0.0450

83.8520,0.2544,0.0604

84.8520,0.2451,0.0501

85.8520,0.2451,0.0501

86.8530,0.2359,0.0399

87.8530,0.2451,0.0501

88.8520,0.2405,0.0450

89.8520,0.2498,0.0553

90.8520,0.2498,0.0553

91.8520,0.2359,0.0399

92.8530,0.2498,0.0553

93.8520,0.1942,-0.0065

94.8520,0.2451,0.0501

95.8520,0.2451,0.0501

96.8520,0.2405,0.0450

97.8530,0.2451,0.0501

98.8530,0.2451,0.0501

99.8520,0.2405,0.0450

100.8520,0.2359,0.0399

101.8520,0.2312,0.0347

102.8530,0.2498,0.0553

103.8530,0.2451,0.0501

104.8520,0.2451,0.0501

105.8520,0.2405,0.0450

106.8520,0.2405,0.0450

107.8520,0.2127,0.0141

108.8520,0.2405,0.0450

109.8520,0.2451,0.0501

110.8520,0.2359,0.0399

111.8530,0.2451,0.0501

112.8530,0.2405,0.0450

113.8520,0.2451,0.0501

114.8530,0.2544,0.0604

115.8530,0.2405,0.0450

116.8530,0.2359,0.0399

117.8520,0.2451,0.0501

118.8520,0.2451,0.0501

119.8520,0.2359,0.0399

120.8530,0.1988,-0.0013

121.8520,0.2266,0.0296

122.8520,0.2359,0.0399

123.8520,0.2405,0.0450

124.8520,0.2405,0.0450

125.8520,0.2405,0.0450

126.8520,0.2405,0.0450

127.8530,0.2405,0.0450

128.8530,0.2312,0.0347

129.8520,0.2359,0.0399

130.8530,0.2405,0.0450

131.8530,0.2266,0.0296

132.8530,0.2405,0.0450

133.8530,0.2451,0.0501

134.8520,0.2359,0.0399

135.8530,0.2359,0.0399

136.8530,0.2405,0.0450

137.8520,0.2451,0.0501

138.8530,0.2405,0.0450

139.8520,0.2451,0.0501

140.8520,0.2312,0.0347

141.8530,0.2312,0.0347

142.8520,0.2359,0.0399

143.8530,0.2451,0.0501

144.8540,0.2173,0.0193

145.8520,0.2405,0.0450

146.8520,0.2405,0.0450

147.8520,0.2266,0.0296

148.8530,0.2451,0.0501

149.8520,0.2312,0.0347

150.8520,0.2498,0.0553

151.8530,0.2405,0.0450

152.8520,0.2729,0.0810

153.8520,0.2498,0.0553

154.8520,0.2451,0.0501

155.8520,0.2405,0.0450

156.8520,0.2405,0.0450

157.8520,0.2405,0.0450

158.8520,0.2451,0.0501

159.8530,0.2405,0.0450

160.8530,0.2359,0.0399

161.8520,0.2451,0.0501

162.8520,0.2405,0.0450

163.8530,0.2451,0.0501

164.8520,0.2359,0.0399

165.8520,0.2266,0.0296

166.8520,0.2451,0.0501

167.8520,0.2312,0.0347

168.8520,0.2220,0.0244

169.8520,0.2451,0.0501

170.8530,0.2498,0.0553

171.8520,0.2359,0.0399

172.8530,0.2498,0.0553

173.8520,0.2405,0.0450

174.8520,0.2405,0.0450

175.8520,0.2451,0.0501

176.8530,0.2451,0.0501

177.8520,0.2405,0.0450

178.8520,0.2451,0.0501

179.8520,0.2405,0.0450

180.8520,0.2405,0.0450

181.8520,0.2498,0.0553

182.8520,0.2451,0.0501

183.8520,0.2359,0.0399

184.8520,0.2451,0.0501

185.8520,0.2405,0.0450

186.8520,0.2359,0.0399

187.8520,0.2266,0.0296

188.8520,0.2405,0.0450

189.8530,0.2544,0.0604

190.8530,0.2266,0.0296

191.8520,0.2451,0.0501

192.8520,0.2359,0.0399

193.8520,0.2405,0.0450

194.8520,0.2405,0.0450

195.8520,0.2451,0.0501

196.8520,0.2359,0.0399

197.8520,0.2451,0.0501

198.8520,0.2359,0.0399

199.8520,0.2405,0.0450

200.8530,0.2359,0.0399

201.8520,0.2405,0.0450

202.8520,0.2498,0.0553

203.8520,0.2498,0.0553

204.8520,0.2405,0.0450

205.8520,0.2822,0.0913

206.8530,0.2266,0.0296

207.8520,0.2451,0.0501

208.8530,0.2498,0.0553

209.8530,0.2405,0.0450

210.8520,0.2312,0.0347

211.8520,0.2451,0.0501

212.8530,0.2405,0.0450

213.8530,0.2451,0.0501

214.8520,0.2405,0.0450

