Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.2490,25.2176,24.8808,24.1989,24.4731,24.6243,24.6488,24.5595,24.6824,24.6789,24.6656,24.6607

1.6040,25.2044,24.8905,24.1849,24.4539,24.6113,24.6555,24.5638,24.6735,24.6690,24.6645,24.6547

2.3500,25.2055,24.8720,24.1721,24.4609,24.5956,24.6381,24.5559,24.6792,24.6612,24.6587,24.6474

3.3500,25.2086,24.8651,24.2021,24.4630,24.6327,24.6502,24.5808,24.6895,24.6743,24.6699,24.6615

4.3500,25.2129,24.8836,24.1889,24.4762,24.6062,24.6375,24.5666,24.6800,24.6736,24.6587,24.6565

5.3510,25.2119,24.8575,24.2162,24.4738,24.6071,24.6417,24.5699,24.7027,24.6733,24.6722,24.6601

6.3500,25.2301,24.8774,24.2007,24.4659,24.6147,24.6476,24.5720,24.7001,24.6778,24.6739,24.6636

7.3500,25.2249,24.8733,24.1895,24.4830,24.6423,24.6339,24.5659,24.6887,24.6826,24.6613,24.6627

8.3500,25.2089,24.8721,24.1812,24.4695,24.6151,24.6293,24.5787,24.6780,24.6694,24.6536,24.6541

9.3500,25.2047,24.8813,24.1955,24.4673,24.6100,24.6624,24.5754,24.6784,24.6718,24.6704,24.6594

10.3500,25.2078,24.8778,24.1783,24.4695,24.6212,24.6480,24.5767,24.6877,24.6709,24.6679,24.6584

11.3500,25.2082,24.8920,24.2082,24.4682,24.6128,24.6243,24.5614,24.6970,24.6779,24.6606,24.6590

12.3500,25.1948,24.8837,24.1980,24.4764,24.6101,24.6657,24.5731,24.6822,24.6726,24.6739,24.6605

13.3500,25.2228,24.8792,24.1892,24.4724,24.6241,24.6196,24.5737,24.6867,24.6775,24.6531,24.6585

14.3500,25.2130,24.8817,24.1799,24.4526,24.6213,24.6428,24.5823,24.6853,24.6697,24.6641,24.6574

15.3500,25.2085,24.8833,24.1777,24.4538,24.6078,24.6463,24.5721,24.6936,24.6662,24.6699,24.6554

16.3500,25.2220,24.8804,24.2084,24.4793,24.6040,24.6395,24.5790,24.6915,24.6788,24.6655,24.6630

17.3500,25.2207,24.8710,24.2046,24.4707,24.6220,24.6359,24.5820,24.6841,24.6778,24.6600,24.6614

18.3500,25.2122,24.8942,24.2056,24.4514,24.6386,24.6482,24.5759,24.6917,24.6804,24.6699,24.6647

19.3510,25.2155,24.8786,24.2142,24.4812,24.6277,24.6642,24.5734,24.6963,24.6834,24.6802,24.6689

20.3500,25.2251,24.8659,24.1972,24.4742,24.6240,24.6422,24.5788,24.7045,24.6773,24.6734,24.6640

21.3510,25.2283,24.8808,24.1989,24.4569,24.6167,24.6387,24.5872,24.6931,24.6763,24.6659,24.6626

22.3500,25.1973,24.8821,24.1993,24.4559,24.6265,24.6587,24.5850,24.6710,24.6722,24.6648,24.6595

23.3500,25.2023,24.8893,24.2008,24.4773,24.6110,24.6302,24.5688,24.7172,24.6761,24.6737,24.6621

24.3500,25.2123,24.8725,24.1958,24.4714,24.6179,24.6525,24.5603,24.7035,24.6740,24.6780,24.6608

25.3500,25.2139,24.8877,24.2024,24.4667,24.6127,24.6394,24.5624,24.6772,24.6767,24.6583,24.6578

26.3510,25.2044,24.9054,24.2078,24.4678,24.6337,24.6337,24.5577,24.7008,24.6838,24.6673,24.6639

27.3500,25.2027,24.8850,24.2135,24.4545,24.5925,24.6231,24.5910,24.7011,24.6697,24.6621,24.6579

28.3510,25.2021,24.8747,24.1994,24.4574,24.6077,24.6503,24.5771,24.6872,24.6683,24.6688,24.6570

29.3500,25.2120,24.8607,24.1991,24.4610,24.6103,24.6177,24.5808,24.6923,24.6686,24.6550,24.6542

30.3510,25.2030,24.8860,24.1871,24.4688,24.6134,24.6238,24.5628,24.6654,24.6717,24.6446,24.6513

31.3510,25.1925,24.8749,24.1778,24.4657,24.6103,24.6422,24.5755,24.6932,24.6642,24.6677,24.6540

32.3500,25.2045,24.8735,24.2043,24.4548,24.6292,24.6357,24.5705,24.6872,24.6733,24.6615,24.6575

33.3500,25.2216,24.8874,24.1988,24.4546,24.6110,24.6486,24.5834,24.6921,24.6747,24.6703,24.6622

34.3500,25.2047,24.8766,24.1885,24.4749,24.6058,24.6265,24.5783,24.6860,24.6701,24.6562,24.6552

35.3500,25.1973,24.8950,24.1795,24.4796,24.5945,24.6243,24.5680,24.6815,24.6692,24.6529,24.6524

36.3500,25.1929,24.9051,24.1910,24.4623,24.6069,24.6241,24.5712,24.6964,24.6717,24.6603,24.6563

37.3500,25.1954,24.8672,24.1866,24.4575,24.6130,24.6503,24.5619,24.6767,24.6639,24.6635,24.6511

38.3500,25.1990,24.8991,24.1983,24.4734,24.6138,24.6359,24.5778,24.6803,24.6767,24.6581,24.6597

39.3500,25.2214,24.8855,24.1908,24.4551,24.6105,24.6413,24.5846,24.6777,24.6727,24.6595,24.6584

40.3510,25.2103,24.8856,24.1880,24.4674,24.6186,24.6339,24.5725,24.6679,24.6740,24.6509,24.6555

41.3510,25.2196,24.8875,24.1791,24.4641,24.6021,24.6305,24.5832,24.6782,24.6705,24.6543,24.6555

42.3500,25.2028,24.8926,24.2017,24.4522,24.6082,24.6317,24.5773,24.6756,24.6715,24.6536,24.6553

43.3500,25.1849,24.9048,24.1917,24.4711,24.6242,24.6331,24.5665,24.6875,24.6753,24.6603,24.6580

