Elapsed Time (s), Rod voltage (V)
3.8570,NaN

4.2930,0.3475

5.2920,0.3474

6.2930,0.3475

7.2930,0.3474

8.2920,0.3474

9.2920,0.3475

10.2920,0.3474

11.2930,0.3475

12.2930,0.3474

13.2920,0.3475

14.2920,0.3474

15.2930,0.3475

16.2930,0.3475

17.2920,0.3475

18.2930,0.3475

19.2920,0.3475

20.2930,0.3475

21.2920,0.3475

22.2930,0.3475

23.2920,0.3475

24.2920,0.3475

25.2940,0.3475

26.2920,0.3475

27.2920,0.3475

28.2920,0.3475

29.2920,0.3475

30.2930,0.3475

31.2920,0.3475

32.2920,0.3475

33.2920,0.3475

34.2920,0.3475

35.2920,0.3475

36.2920,0.3475

37.2930,0.3475

38.2930,0.3475

39.2920,0.3475

40.2920,0.3475

41.2930,0.3475

42.2930,0.3475

43.2930,0.3476

44.2920,0.3475

45.2920,0.3475

46.2930,0.3475

47.2920,0.3475

48.2930,0.3475

49.2920,0.3475

50.2920,0.3475

51.2920,0.3475

52.2930,0.3475

53.2920,0.3475

54.2920,0.3475

55.2920,0.3475

56.2920,0.3475

57.2930,0.3475

58.2930,0.3475

59.2920,0.3475

60.2920,0.3475

61.2920,0.3475

62.2930,0.3475

63.2920,0.3475

64.2920,0.3475

65.2920,0.3475

66.2920,0.3475

67.2920,0.3475

68.2920,0.3475

69.2930,0.3475

70.2940,0.3475

71.2930,0.3476

72.2930,0.3475

73.2920,0.3475

74.2930,0.3475

75.2930,0.3475

76.2920,0.3476

77.2930,0.3475

78.2920,0.3476

79.2920,0.3476

80.2930,0.3476

81.2920,0.3476

82.2920,0.3476

83.2920,0.3476

84.2920,0.3476

85.2920,0.3476

86.2920,0.3476

87.2930,0.3476

88.2920,0.3476

89.2920,0.3476

90.2920,0.3476

91.2920,0.3476

92.2920,0.3476

93.2920,0.3476

94.2920,0.3476

95.2920,0.3476

96.2920,0.3476

97.2920,0.3476

98.2920,0.3476

99.2920,0.3477

100.2920,0.3477

101.2920,0.3476

102.2920,0.3477

103.2920,0.3477

104.2920,0.3477

105.2920,0.3476

106.2920,0.3476

107.2920,0.3476

108.2920,0.3476

109.2920,0.3476

110.2930,0.3476

111.2920,0.3477

112.2920,0.3476

113.2920,0.3476

114.2920,0.3476

115.2920,0.3476

116.2920,0.3476

117.2920,0.3476

118.2920,0.3476

119.2920,0.3476

120.2920,0.3477

121.2920,0.3476

122.2920,0.3476

123.2920,0.3476

124.2920,0.3476

125.2920,0.3476

126.2920,0.3477

127.2920,0.3476

128.2920,0.3476

129.2920,0.3476

130.2920,0.3476

131.2930,0.3477

132.2930,0.3476

133.2920,0.3476

134.2930,0.3477

135.2920,0.3477

136.2920,0.3477

137.2920,0.3477

138.2920,0.3476

139.2920,0.3476

140.2920,0.3477

141.2930,0.3476

142.2930,0.3476

143.2930,0.3477

144.2920,0.3477

145.2920,0.3477

146.2920,0.3477

147.2920,0.3476

148.2920,0.3477

149.2920,0.3477

150.2920,0.3477

151.2920,0.3477

152.2930,0.3477

153.2930,0.3477

154.2920,0.3477

155.2920,0.3477

156.2920,0.3477

157.2920,0.3477

158.2920,0.3477

159.2920,0.3477

160.2930,0.3476

161.2920,0.3477

162.2930,0.3477

163.2920,0.3477

164.2930,0.3477

165.2930,0.3477

166.2920,0.3477

167.2930,0.3477

168.2920,0.3477

169.2920,0.3477

170.2920,0.3477

171.2930,0.3477

172.2930,0.3477

173.2930,0.3477

174.2920,0.3477

175.2920,0.3477

176.2920,0.3477

177.2920,0.3477

178.2920,0.3477

179.2920,0.3478

180.2920,0.3477

181.2920,0.3478

182.2920,0.3477

183.2920,0.3477

184.2920,0.3478

185.2920,0.3477

186.2920,0.3478

187.2920,0.3478

188.2920,0.3477

189.2920,0.3478

190.2930,0.3477

191.2920,0.3478

192.2920,0.3478

193.2920,0.3478

194.2920,0.3477

195.2920,0.3478

196.2920,0.3477

197.2920,0.3478

198.2920,0.3478

199.2920,0.3477

200.2920,0.3477

201.2920,0.3478

202.2930,0.3477

203.2920,0.3478

204.2920,0.3478

205.2920,0.3478

206.2930,0.3478

207.2920,0.3478

208.2920,0.3478

209.2930,0.3478

210.2920,0.3478

211.2920,0.3478

212.2920,0.3478

213.2920,0.3478

214.2920,0.3478

215.2920,0.3478

216.2920,0.3478

