Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8560,-0.0045,0.0347,60.9079,0.3445

2.6710,-0.0045,0.0347,Inf,0.0000

3.6720,0.2159,0.7190,0.0000,0.0001

4.6720,0.4478,1.2232,0.0000,0.0000

5.6710,0.5711,1.1409,0.0000,0.0000

6.6710,0.6458,1.0946,0.0000,0.0000

7.6710,0.7006,1.1049,0.0000,0.0000

8.6710,0.7398,1.0895,0.0000,0.0000

9.6720,0.7709,1.0946,0.0000,0.0000

10.6710,0.7962,1.0997,0.0000,0.0000

11.6710,0.8986,1.0946,0.0000,0.0000

12.6710,1.0010,1.0946,0.0000,0.0000

13.6710,1.0383,1.1049,0.0000,0.0000

14.6710,1.0244,1.0792,0.0000,0.0000

15.6710,1.0194,1.0895,0.0000,0.0000

16.6710,1.0194,1.0946,0.0000,0.0000

17.6710,1.0164,1.0740,0.0000,0.0000

18.6720,1.0139,1.0637,0.0000,0.0000

19.6710,1.0204,1.1615,0.0000,0.0000

20.6720,1.0204,1.0997,0.0000,0.0000

21.6720,1.0204,1.0946,0.0000,0.0000

22.6710,1.0184,1.0740,0.0000,0.0000

23.6710,1.0174,1.0946,0.0000,0.0000

24.6710,1.0179,1.0843,0.0000,0.0000

25.6720,1.0209,1.1203,0.0000,0.0000

26.6710,1.0244,1.1306,0.0000,0.0000

27.6710,1.0338,1.1718,0.0000,0.0000

28.6720,1.0373,1.0997,0.0000,0.0000

29.6720,1.0308,1.0946,0.0000,0.0000

30.6710,1.0338,1.1306,0.0000,0.0000

31.6710,1.0303,1.0586,0.0000,0.0000

32.6710,1.0427,1.2026,0.0000,0.0000

33.6710,1.0542,1.2129,0.0000,0.0000

34.6710,1.0701,1.2490,0.0000,0.0000

35.6710,1.0760,1.1821,0.0000,0.0000

36.6710,1.0835,1.2078,0.0000,0.0000

37.6720,1.0900,1.2387,0.0000,0.0000

38.6710,1.1009,1.2129,0.0000,0.0000

39.6710,1.1138,1.2284,0.0000,0.0000

40.6710,1.0075,0.0296,0.0000,0.0000

41.6720,0.9105,0.0553,0.0000,0.0000

42.6710,0.7982,0.0399,0.0000,0.0000

43.6710,0.7744,0.9660,0.0000,0.0000

44.6710,0.7629,1.1306,0.0000,0.0000

45.6710,0.7580,1.1306,0.0000,0.0000

46.6710,0.7495,1.1203,0.0000,0.0000

47.6710,0.7361,1.0997,0.0000,0.0000

48.6710,0.7266,1.1152,0.0000,0.0000

49.6710,0.6163,0.0862,0.0000,0.0000

50.6720,0.6193,0.0604,0.0000,0.0000

51.6720,0.6188,0.0501,0.0000,0.0000

52.6710,0.6178,0.0296,0.0000,0.0000

53.6720,0.5278,0.0347,0.0000,0.0000

54.6710,0.4254,0.0707,0.0000,0.0000

55.6710,0.3206,0.0450,0.0000,0.0000

56.6710,0.2237,0.1170,0.0000,0.0000

57.6720,0.1228,0.0553,0.0000,0.0000

